stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
20206,137,LAVOIR,,+49.097251,+06.174771,0,10099
10099,LAVOI,LAVOIR,,+49.097134,+06.174831,1,
20204,138,EGLISE,,+49.099052,+06.173756,0,10098
10098,EGLIS,EGLISE,,+49.098756,+06.173013,1,
20224,139,ST PIERRE,,+49.100238,+06.175488,0,10109
10109,1PIER,ST PIERRE,,+49.100238,+06.175488,1,
20199,140,BOILVIN,,+49.103217,+06.174654,0,10094
10094,BOILV,BOILVIN,,+49.103326,+06.174718,1,
21162,997,DALES,,+49.132450,+06.165893,0,10087
20173,155,PAQUET,,+49.135095,+06.156790,0,10083
10083,PAQUE,PAQUET,,+49.135065,+06.156755,1,
20171,156,DAGA,,+49.136468,+06.156072,0,10050
10050,GDAGA,DAGA,,+49.136540,+06.155952,1,
20164,157,QUATRE BORNES,,+49.139406,+06.153482,0,10080
10080,QBORN,QUATRE BORNES,,+49.139303,+06.153457,1,
20162,158,MORLOT,,+49.141094,+06.150243,0,10079
10079,MORLO,MORLOT,,+49.141080,+06.150491,1,
20835,630,COUPILLON,,+49.141575,+06.148088,0,10430
10430,Coupi,COUPILLON,,+49.141472,+06.148104,1,
20837,631,RUCHER,,+49.145042,+06.147958,0,10431
10431,RUCHE,RUCHER,,+49.144924,+06.147897,1,
20839,632,SAULES,,+49.147658,+06.152498,0,10432
10432,1SAUL,SAULES,,+49.147636,+06.152453,1,
20831,633,WOIPPY (Hotel de v.),,+49.151293,+06.150132,0,10428
10428,WOIPP,WOIPPY (Hotel de v.),,+49.151278,+06.150061,1,
20843,634,WOIPPY CHATEAU,,+49.152574,+06.145724,0,10434
10434,5CHAT,WOIPPY CHATEAU,,+49.152732,+06.145320,1,
20068,635,LE PATIS,,+49.156250,+06.140045,0,10067
10067,WLP,LE PATIS,,+49.156250,+06.140045,1,
20842,636,WOIPPY CHATEAU,,+49.152891,+06.144917,0,10434
20830,637,WOIPPY (Hotel de v.),,+49.151263,+06.149991,0,10428
20838,638,SAULES,,+49.147614,+06.152408,0,10432
20836,639,RUCHER,,+49.144807,+06.147837,0,10431
20834,159,COUPILLON,,+49.141369,+06.148121,0,10430
20161,160,MORLOT,,+49.141066,+06.150739,0,10079
20163,161,QUATRE BORNES,,+49.139201,+06.153432,0,10080
20075,162,DAGA,,+49.136612,+06.155832,0,10050
20172,163,PAQUET,,+49.135036,+06.156721,0,10083
21160,164,PATROTTE,,+49.134853,+06.160902,0,10084
21161,166,BERNANOS,,+49.133017,+06.168145,0,10086
10086,1BERN,BERNANOS,,+49.133283,+06.168120,1,
20198,127,BOILVIN,,+49.103435,+06.174783,0,10094
20200,128,SAINT LIVIER,,+49.101246,+06.174749,0,10095
10095,LIVIE,SAINT LIVIER,,+49.101246,+06.174749,1,
20201,129,CHAPELLE,,+49.100289,+06.172633,0,10096
10096,1CHAP,CHAPELLE,,+49.100289,+06.172633,1,
20202,125,ST BERNARD,,+49.099983,+06.171216,0,10097
10097,STBER,ST BERNARD,,+49.099983,+06.171216,1,
20203,236,EGLISE,,+49.098460,+06.172271,0,10098
20205,243,LAVOIR,,+49.097018,+06.174891,0,10099
20207,255,JARDINIERS,,+49.095300,+06.176353,0,10100
20209,310,4 VENTS,,+49.094005,+06.175613,0,10101
20211,134,LA HORGNE,,+49.093299,+06.172565,0,10102
20213,312,BERTRAM,,+49.093510,+06.169875,0,10103
20228,313,SCARPONE,,+49.091445,+06.169697,0,10111
20232,314,LE MERCIER,,+49.088393,+06.169687,0,10112
20236,537,BLORY,,+49.087247,+06.166818,0,10113
20221,534,SABLIERES,,+49.086285,+06.163121,0,10107
20177,131,DENAIN,,+49.135923,+06.165960,0,10085
20178,1660,BERNANOS,,+49.133549,+06.168096,0,10086
20137,563,MEY,,+49.133892,+06.237556,0,10252
10252,MEY,MEY,,+49.133892,+06.237556,1,
20544,510,LOGES,,+49.099098,+06.158229,0,10272
10272,LOGES,LOGES,,+49.098910,+06.158711,1,
20546,517,ST LADRE,,+49.096782,+06.155238,0,10273
10273,2LADR,ST LADRE,,+49.096906,+06.155202,1,
20548,355,MERMOZ,,+49.094013,+06.152037,0,10274
10274,1MERM,MERMOZ,,+49.093771,+06.151806,1,
20550,523,BLERIOT,,+49.089999,+06.149416,0,10275
10275,BLERI,BLERIOT,,+49.089897,+06.149407,1,
20552,358,PONSARD,,+49.089645,+06.147196,0,10276
10276,2PONS,PONSARD,,+49.089598,+06.147205,1,
20554,357,SIMMINGER,,+49.090319,+06.144903,0,10277
10277,SIMMI,SIMMINGER,,+49.090216,+06.144849,1,
20556,506,COUBERTIN,,+49.091935,+06.144348,0,10278
10278,COUBE,COUBERTIN,,+49.091935,+06.144348,1,
20555,527,SIMMINGER,,+49.090114,+06.144795,0,10277
20553,526,PONSARD,,+49.089551,+06.147214,0,10276
20551,525,BLERIOT,,+49.089795,+06.149399,0,10275
20549,360,MERMOZ,,+49.093530,+06.151576,0,10274
20547,518,ST LADRE,,+49.097030,+06.155166,0,10273
20545,516,LOGES,,+49.098722,+06.159194,0,10272
20879,5067,COIN SUR SEILLE,,+49.009076,+06.159937,0,10452
10452,CSEIL,COIN SUR SEILLE,,+49.009076,+06.159937,1,
20878,5078,POURNOY LA CHETIVE,,+49.020375,+06.155452,0,10451
10451,PCHET,POURNOY LA CHETIVE,,+49.020579,+06.155288,1,
20876,5068,LE CHAVEAU,,+49.031998,+06.150907,0,10450
10450,2CHAV,LE CHAVEAU,,+49.032051,+06.150935,1,
20874,5069,COIN LES CUVRY,,+49.033538,+06.155293,0,10449
10449,COINC,COIN LES CUVRY,,+49.033541,+06.155189,1,
20872,5070,LA POMMERAIE,,+49.033430,+06.162369,0,10448
10448,POMME,LA POMMERAIE,,+49.033528,+06.162190,1,
20870,5071,CHAMPAGNE,,+49.041564,+06.160678,0,10447
10447,1CHAM,CHAMPAGNE,,+49.041414,+06.160733,1,
20880,5000,CUVRY,,+49.042993,+06.158728,0,10414
10414,Cuvry,CUVRY,,+49.042932,+06.158753,1,
21099,5080,VIGNOTTES,,+49.042010,+06.156139,0,10567
10567,vigno,VIGNOTTES,,+49.041937,+06.156125,1,
20886,712,GARE D'AUGNY,,+49.070208,+06.137694,0,10455
10455,7GARE,GARE D'AUGNY,,+49.070195,+06.137607,1,
21551,5018,PLACE DE GAULE,,+49.060911,+06.162694,0,10285
20885,701,GARE D'AUGNY,,+49.070182,+06.137521,0,10455
21098,5079,VIGNOTTES,,+49.041864,+06.156111,0,10567
20805,5072,CUVRY,,+49.042872,+06.158778,0,10414
20869,5073,CHAMPAGNE,,+49.041264,+06.160788,0,10447
20871,5074,LA POMMERAIE,,+49.033626,+06.162012,0,10448
